id;author_name;title;publish_date;cover_area;jhi_group;expire_date;file_upload
1;wedding;hence meanwhile by;as fondly;beside unnecessarily meh;till;ah;bitterly not
2;beneath dizzy;attach;unnecessarily quizzical;underwrite patrol;concerning beach until;an;pish
3;silently including partridge;conformation chronicle fat;usefully buttress recent;rude intensely affirm;measly regarding;furthermore;diminish
4;yahoo at;oof next;wince quizzically unsightly;sweatsuit furlough slew;automaton past;during after clause;object
5;despite minus;boring;hmph intrigue;which nominalize despise;fooey;voluntarily ouch;teammate whenever loving
6;up diligently;mmm detest;coke aha;weaponize why;yum innocently;considering;sternly rampage midst
7;where;unripe under oof;or anenst;of down;reorganise ruddy oof;crossly ambitious;except emend
8;if;ha;within stravaig sparse;between;excluding;whereas quirkily;tonic before
9;joyfully tripod;opposite;when nor xylophone;supposing gadzooks;fantastic dislike;phooey an;aw
10;page than intent;now meanwhile;playroom heartfelt yum;inwardly;boo so;above;furthermore censor
